Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E0,13/08/2016,Burnley,Swansea,0,1,A,0,0,D
E0,13/08/2016,Crystal Palace,West Brom,0,1,A,0,0,D
E0,13/08/2016,Everton,Tottenham,1,1,D,1,0,H
E0,13/08/2016,Hull,Leicester,2,1,H,1,0,H
E0,13/08/2016,Man City,Sunderland,2,1,H,1,0,H
E0,13/08/2016,Middlesbrough,Stoke,1,1,D,1,0,H
E0,13/08/2016,Southampton,Watford,1,1,D,0,1,A
E0,14/08/2016,Arsenal,Liverpool,3,4,A,1,1,D
E0,14/08/2016,Bournemouth,Man United,1,3,A,0,1,A
E0,15/08/2016,Chelsea,West Ham,2,1,H,0,0,D
E0,19/08/2016,Man United,Southampton,2,0,H,1,0,H
E0,20/08/2016,Burnley,Liverpool,2,0,H,2,0,H
E0,20/08/2016,Leicester,Arsenal,0,0,D,0,0,D
E0,20/08/2016,Stoke,Man City,1,4,A,0,2,A
E0,20/08/2016,Swansea,Hull,0,2,A,0,0,D
E0,20/08/2016,Tottenham,Crystal Palace,1,0,H,0,0,D
E0,20/08/2016,Watford,Chelsea,1,2,A,0,0,D
E0,20/08/2016,West Brom,Everton,1,2,A,1,1,D
E0,21/08/2016,Sunderland,Middlesbrough,1,2,A,0,2,A
E0,21/08/2016,West Ham,Bournemouth,1,0,H,0,0,D
E0,27/08/2016,Chelsea,Burnley,3,0,H,2,0,H
E0,27/08/2016,Crystal Palace,Bournemouth,1,1,D,0,1,A
E0,27/08/2016,Everton,Stoke,1,0,H,0,0,D
E0,27/08/2016,Hull,Man United,0,1,A,0,0,D
E0,27/08/2016,Leicester,Swansea,2,1,H,1,0,H
E0,27/08/2016,Southampton,Sunderland,1,1,D,0,0,D
E0,27/08/2016,Tottenham,Liverpool,1,1,D,0,1,A
E0,27/08/2016,Watford,Arsenal,1,3,A,0,3,A
E0,28/08/2016,Man City,West Ham,3,1,H,2,0,H
E0,28/08/2016,West Brom,Middlesbrough,0,0,D,0,0,D
E0,10/09/2016,Arsenal,Southampton,2,1,H,1,1,D
E0,10/09/2016,Bournemouth,West Brom,1,0,H,0,0,D
E0,10/09/2016,Burnley,Hull,1,1,D,0,0,D
E0,10/09/2016,Liverpool,Leicester,4,1,H,2,1,H
E0,10/09/2016,Man United,Man City,1,2,A,1,2,A
E0,10/09/2016,Middlesbrough,Crystal Palace,1,2,A,1,1,D
E0,10/09/2016,Stoke,Tottenham,0,4,A,0,1,A
E0,10/09/2016,West Ham,Watford,2,4,A,2,2,D
E0,11/09/2016,Swansea,Chelsea,2,2,D,0,1,A
E0,12/09/2016,Sunderland,Everton,0,3,A,0,0,D
E0,16/09/2016,Chelsea,Liverpool,1,2,A,0,2,A
E0,17/09/2016,Everton,Middlesbrough,3,1,H,3,1,H
E0,17/09/2016,Hull,Arsenal,1,4,A,0,1,A
E0,17/09/2016,Leicester,Burnley,3,0,H,1,0,H
E0,17/09/2016,Man City,Bournemouth,4,0,H,2,0,H
E0,17/09/2016,West Brom,West Ham,4,2,H,3,0,H
E0,18/09/2016,Crystal Palace,Stoke,4,1,H,2,0,H
E0,18/09/2016,Southampton,Swansea,1,0,H,0,0,D
E0,18/09/2016,Tottenham,Sunderland,1,0,H,0,0,D
E0,18/09/2016,Watford,Man United,3,1,H,1,0,H
E0,24/09/2016,Arsenal,Chelsea,3,0,H,3,0,H
E0,24/09/2016,Bournemouth,Everton,1,0,H,1,0,H
E0,24/09/2016,Liverpool,Hull,5,1,H,3,0,H
E0,24/09/2016,Man United,Leicester,4,1,H,4,0,H
E0,24/09/2016,Middlesbrough,Tottenham,1,2,A,0,2,A
E0,24/09/2016,Stoke,West Brom,1,1,D,0,0,D
E0,24/09/2016,Sunderland,Crystal Palace,2,3,A,1,0,H
E0,24/09/2016,Swansea,Man City,1,3,A,1,1,D
E0,25/09/2016,West Ham,Southampton,0,3,A,0,1,A
E0,26/09/2016,Burnley,Watford,2,0,H,1,0,H
E0,30/09/2016,Everton,Crystal Palace,1,1,D,1,0,H
E0,01/10/2016,Hull,Chelsea,0,2,A,0,0,D
E0,01/10/2016,Sunderland,West Brom,1,1,D,0,1,A
